Item,Weight,Value
1,1,5
2,2,8
3,3,12
4,4,14
5,5,15
6,6,18
7,1,6
8,2,9
9,3,11
10,4,13
11,5,16
12,6,19
13,7,20
14,1,4
15,2,7
16,3,10
17,4,12
18,5,14
19,6,16
20,1,5
21,2,8
22,3,12
23,4,14
24,5,15
25,6,18
26,1,7
27,2,10
28,3,13
29,4,15
30,5,17
31,6,19
32,1,6
33,2,9
34,3,11
35,4,14
36,5,16
37,6,18
38,1,7
39,2,10
40,3,12
41,4,15
42,5,17
43,6,19
44,1,8
45,2,11
46,3,14
47,4,16
48,5,18
49,6,20
50,1,9
51,2,12
52,3,15
53,4,17
54,5,19
55,6,20
56,1,10
57,2,13
58,3,16
59,4,18
60,5,20
61,6,12
62,1,11
63,2,14
64,3,16
65,4,18
66,5,20
67,6,14
68,1,12
69,2,15
70,3,17
71,4,19
72,5,20
73,6,16
74,1,13
75,2,16
76,3,18
77,4,20
78,5,12
79,6,14
80,1,14
81,2,17
82,3,19
83,4,20
84,5,13
85,6,15
86,1,15
87,2,18
88,3,20
89,4,12
90,5,14
91,6,16
92,1,16
93,2,19
94,3,20
95,4,13
96,5,15
97,6,17
98,1,17
99,2,20
100,3,18
